Metodo,N angoli,Intervallo,PSNR medio (dB),PSNR std,SSIM medio,SSIM std,N slice
TV,90,"[-45°, 45°]",23.83,2.12,0.7257,0.0502,327
UNet,90,"[-45°, 45°]",23.35,1.64,0.7189,0.0385,327
Weighted TV,90,"[-45°, 45°]",24.06,2.1,0.7376,0.0448,327
TV,45,"[-45°, 45°]",23.79,2.14,0.7221,0.0505,327
UNet,45,"[-45°, 45°]",23.32,1.48,0.7153,0.0376,327
Weighted TV,45,"[-45°, 45°]",23.94,2.07,0.7309,0.0445,327
TV,30,"(-30°, 30°)",21.75,2.35,0.6426,0.0605,327
UNet,30,"(-30°, 30°)",21.15,1.98,0.625,0.0579,327
Weighted TV,30,"(-30°, 30°)",21.91,2.36,0.6506,0.0587,327
TV,15,"(-30°, 30°)",21.51,2.37,0.6231,0.0644,327
UNet,15,"(-30°, 30°)",20.91,2.12,0.6139,0.0493,327
Weighted TV,15,"(-30°, 30°)",21.62,2.27,0.6299,0.0601,327
